wnumber,firstname,lastname,email,major,course,termcode,city,state,zip
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 3030","200910","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4790","200710","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4920","200830","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2350","200610","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2705","200710","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4740","200710","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 3030","200610","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2800","201120","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4740","201030","Honeyville","UT","84640"
"W11184668","Braylen","Mccoy","Braylen.Mccoy326@mail.weber.edu","Technical Sales","CS 2450","201030","Salina","UT","84408"
"W11184668","Braylen","Mccoy","Braylen.Mccoy326@mail.weber.edu","Technical Sales","CS 2420","201030","Salina","UT","84408"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3730","201110","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 1022","200710","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4730","201030","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3210","200530","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4920","200510","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3805","200520","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4650","201030","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 2650","201010","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3030","200930","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3705","201030","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3230","200820","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 2420","200520","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 1410","200710","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4650","200820","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4830","200610","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 4780","200520","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 3030","200530","Wendover","UT","84302"
"W11712110","Sarai","Harding","Sarai.Harding516@mail.weber.edu","Physics/Applied Physics","CS 2140","201010","Wendover","UT","84302"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3550","200520","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 4830","200820","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 2550","200710","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3540","201010","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3705","200520","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 2650","201010","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3250","201030","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 4820","201110","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 1400","201020","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 4750","200620","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3210","200830","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 2800","201010","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 4230","200730","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 2550","200630","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3030","200830","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 3210","201020","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 2890","200910","Grantsville","UT","84005"
"W18265022","Alaina","Dominguez","Alaina.Dominguez776@mail.weber.edu","Nursing","CS 4890","200930","Grantsville","UT","84005"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 1400","201030","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 1030","201010","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 4730","200720","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 1010","200510","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 3250","201110","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 4790","200610","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 4110","201120","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 2420","200630","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 3705","200730","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 1022","200510","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","CS 4800","201030","Altamont","UT","84653"
"W10290820","Talan","Sosa","Talan.Sosa951@mail.weber.edu","Physics/Applied Physics","MGMT 2400","200620","Altamont","UT","84653"
"W14873350","Gracelyn","Clarke","Gracelyn.Clarke900@mail.weber.edu","Non-Degree Seeking","CS 4820","200520","Vineyard","UT","84729"
"W14873350","Gracelyn","Clarke","Gracelyn.Clarke900@mail.weber.edu","Non-Degree Seeking","CS 3250","200810","Vineyard","UT","84729"
"W14873350","Gracelyn","Clarke","Gracelyn.Clarke900@mail.weber.edu","Non-Degree Seeking","CS 4230","200710","Vineyard","UT","84729"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2450","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3730","200610","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4650","200610","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2780","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3730","201020","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 1030","200820","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3250","200920","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2650","200720","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4750","200710","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4800","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3720","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2650","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4800","200510","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4500","200620","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4280","200630","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3250","200620","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4920","201110","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4500","201110","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4830","200930","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4890","201010","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3550","200920","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 1400","201020","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2420","200930","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2420","201120","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2350","200910","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 3550","200510","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2780","200610","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4920","200810","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4650","200530","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4650","201020","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4730","201110","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","MGMT 2400","200620","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4790","200530","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 2350","201030","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 1400","200910","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4920","200920","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4740","201120","South Salt Lake","UT","84626"
"W13336872","Miriam","Cardenas","Miriam.Cardenas969@mail.weber.edu","Non-Degree Seeking","CS 4740","201110","South Salt Lake","UT","84626"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4230","200710","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 3840","200730","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 1010","201110","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 3540","201020","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 1010","200520","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 2350","201020","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 3805","200730","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4890","200620","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4230","200530","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4740","201020","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4650","200920","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4899","201130","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 1010","200820","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 3230","201110","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 2450","200920","Springville","UT","84716"
"W15278688","Denzel","Mccormick","Denzel.Mccormick638@mail.weber.edu","General Studies","CS 4830","201110","Springville","UT","84716"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2420","200810","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3210","200830","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4899","201030","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3100","200510","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4500","200610","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3250","200610","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4899","200620","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2250","201020","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3540","201030","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 1410","200620","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4640","201030","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4899","201010","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 1410","201030","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4820","200820","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4899","200530","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2550","200630","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2140","200730","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2450","200810","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4780","200630","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3030","200830","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2780","200530","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2705","201030","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3750","200630","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4920","200910","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 1410","200710","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4920","200620","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 4110","200720","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 1410","200910","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 3830","200720","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 2550","200510","South Ogden","UT","84035"
"W10716409","Ricky","Jimenez","Ricky.Jimenez799@mail.weber.edu","Electronics Engineering Tech","CS 1022","200720","South Ogden","UT","84035"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 2890","201030","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 4750","200930","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 1410","200510","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3750","200920","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3730","200920","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 4500","200820","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3550","200730","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 4500","200530","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3210","200830","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 1022","201030","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","MGMT 2400","200620","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 2705","201020","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 2780","201110","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 2140","200830","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 4920","200520","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 1030","200510","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3100","200510","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 1010","200610","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 2140","201120","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3540","201020","Oakley","UT","84726"
"W10378684","Samir","Stanley","Samir.Stanley351@mail.weber.edu","Computer Sci/Syst Integration","CS 3100","200630","Oakley","UT","84726"
